Ord;Mes;Ano;Total;Worm;Worm_P;DOS;DOS_P;Invasao;Invasao_P;Web;Web_P;Scan;Scan_P;Fraude;Fraude_P
1;jan;2016;54781;4994;9,12;942;1,72;272;0,5;2266;4,14;32959;60,17;11846;21,62
2;fev;2016;57041;4176;7,32;137;0,24;95;0,17;1422;2,49;40911;71,72;8783;15,4
3;mar;2016;92852;3886;4,19;12851;13,84;106;0,11;4526;4,87;58962;63,5;10573;11,39
4;abr;2016;44352;1170;2,64;6147;13,86;126;0,28;1637;3,69;22531;50,8;11681;26,34
5;mai;2016;49228;3186;6,47;338;0,69;125;0,25;2361;4,8;27496;55,85;14456;29,37
6;jun;2016;59266;2041;3,44;823;1,39;126;0,21;1554;2,62;41210;69,53;12646;21,34
7;jul;2016;38402;1766;4,6;1676;4,36;116;0,3;1804;4,7;25763;67,09;6252;16,28
8;ago;2016;49596;1927;3,89;260;0,52;137;0,28;10802;21,78;27970;56,4;7402;14,92
9;set;2016;45472;1583;3,48;9171;20,17;145;0,32;6027;13,25;21596;47,49;6082;13,38
10;out;2016;35372;1293;3,66;410;1,16;86;0,24;5050;14,28;23257;65,75;4182;11,82
11;nov;2016;57345;1018;1,78;15735;27,44;320;0,56;7758;13,53;25858;45,09;5277;9,2
12;dez;2016;63405;1208;1,91;11942;18,83;41;0,06;10234;16,14;35390;55,82;3538;5,58
13;jan;2015;67661;2829;4,18;1367;2,02;409;0,6;6547;9,68;36445;53,86;18465;27,29
14;fev;2015;66700;2682;4,02;2056;3,08;289;0,43;8102;12,15;39267;58,87;12513;18,76
15;mar;2015;52959;2867;5,41;70;0,13;489;0,92;8822;16,66;32351;61,09;6338;11,97
16;abr;2015;52991;3046;5,75;34;0,06;150;0,28;6297;11,88;31215;58,91;10571;19,95
17;mai;2015;58322;3122;5,35;374;0,64;177;0,3;5399;9,26;23242;39,85;23890;40,96
18;jun;2015;81244;3423;4,21;1016;1,25;157;0,19;9219;11,35;29593;36,42;36327;44,71
19;jul;2015;53075;4141;7,8;2763;5,21;160;0,3;4716;8,89;32601;61,42;6561;12,36
20;ago;2015;65486;3683;5,62;3354;5,12;104;0,16;4447;6,79;33446;51,07;18701;28,56
21;set;2015;59311;4326;7,29;2511;4,23;119;0,2;3993;6,73;29759;50,17;16560;27,92
22;out;2015;52226;6301;12,06;1702;3,26;140;0,27;4315;8,26;32554;62,33;6089;11,66
23;nov;2015;64203;5912;9,21;9142;14,24;145;0,23;2297;3,58;38482;59,94;6595;10,27
24;dez;2015;48027;5390;11,22;971;2,02;118;0,25;1493;3,11;32268;67,19;6165;12,84
25;jan;2014;33959;2853;8,4;6539;19,26;590;1,74;1267;3,73;13916;40,98;7248;21,34
26;fev;2014;43227;4163;9,63;6190;14,32;764;1,77;1434;3,32;19862;45,95;9616;22,25
27;mar;2014;45808;9238;20,17;2829;6,18;780;1,7;1253;2,74;22471;49,05;7780;16,98
28;abr;2014;41533;3513;8,46;1505;3,62;1559;3,75;1900;4,57;23320;56,15;8562;20,61
29;mai;2014;48565;2857;5,88;8383;17,26;293;0,6;1997;4,11;20756;42,74;12962;26,69
30;jun;2014;54057;2274;4,21;10345;19,14;612;1,13;2171;4,02;17477;32,33;20149;37,27
31;jul;2014;58662;3294;5,62;10218;17,42;210;0,36;2225;3,79;20292;34,59;21265;36,25
32;ago;2014;134156;3327;2,48;38822;28,94;187;0,14;1828;1,36;21500;16,03;67480;50,3
33;set;2014;214954;3312;1,54;56184;26,14;290;0,13;2347;1,09;21498;10;130108;60,53
34;out;2014;206148;2563;1,24;50195;24,35;296;0,14;3029;1,47;23763;11,53;125060;60,67
35;nov;2014;107219;2571;2,4;29566;27,58;201;0,19;3416;3,19;28053;26,16;42420;39,56
36;dez;2014;58743;2226;3,79;3159;5,38;727;1,24;5941;10,11;30751;52,35;14971;25,49
37;jan;2013;36067;2217;6,15;15;0,04;2149;5,96;1305;3,62;18954;52,55;6247;17,32
38;fev;2013;26471;1523;5,75;6;0,02;1206;4,56;1364;5,15;12664;47,84;5573;21,05
39;mar;2013;28090;1771;6,3;6;0,02;1686;6;1113;3,96;13913;49,53;5259;18,72
40;abr;2013;29943;2084;6,96;14;0,05;1511;5,05;1479;4,94;13465;44,97;6615;22,09
41;mai;2013;23409;1638;7;6;0,03;972;4,15;1349;5,76;10378;44,33;5338;22,8
42;jun;2013;29713;2580;8,68;15;0,05;592;1,99;2177;7,33;15664;52,72;5061;17,03
43;jul;2013;30874;2932;9,5;123;0,4;509;1,65;1710;5,54;13769;44,6;7530;24,39
44;ago;2013;28531;2090;7,33;24;0,08;542;1,9;1942;6,81;12336;43,24;8145;28,55
45;set;2013;31482;2365;7,51;86;0,27;419;1,33;1573;5;15911;50,54;8538;27,12
46;out;2013;28842;2847;9,87;34;0,12;741;2,57;1066;3,7;13231;45,87;8239;28,57
47;nov;2013;30213;2843;9,41;28;0,09;363;1,2;2247;7,44;13263;43,9;8876;29,38
48;dez;2013;29290;3089;10,55;673;2,3;517;1,77;1396;4,77;11848;40,45;10254;35,01
49;jan;2012;27148;6830;25,16;7;0,03;603;2,22;2137;7,87;8478;31,23;4096;15,09
50;fev;2012;25266;4404;17,43;34;0,13;452;1,79;2211;8,75;8523;33,73;4183;16,56
51;mar;2012;34796;2380;6,84;22;0,06;559;1,61;3508;10,08;10616;30,51;5126;14,73
52;abr;2012;35342;3171;8,97;9;0,03;100;0,28;2111;5,97;9557;27,04;7923;22,42
53;mai;2012;40965;3242;7,91;11;0,03;413;1,01;3532;8,62;13339;32,56;8557;20,89
54;jun;2012;37806;2702;7,15;9;0,02;619;1,64;3124;8,26;16646;44,03;5653;14,95
55;jul;2012;42104;2922;6,94;17;0,04;1320;3,14;2899;6,89;20638;49,02;6580;15,63
56;ago;2012;60018;2867;4,78;40;0,07;659;1,1;1717;2,86;41741;69,55;5582;9,3
57;set;2012;53501;3157;5,9;9;0,02;1043;1,95;1359;2,54;35571;66,49;5730;10,71
58;out;2012;39326;3380;8,59;9;0,02;754;1,92;1186;3,02;23229;59,07;6442;16,38
59;nov;2012;40751;1858;4,56;125;0,31;716;1,76;1116;2,74;28065;68,87;5268;12,93
60;dez;2012;29006;1553;5,35;17;0,06;577;1,99;657;2,27;16095;55,49;4421;15,24
61;jan;2011;16840;1041;6,18;9;0,05;6;0,04;996;5,91;8343;49,54;3098;18,4
62;fev;2011;26289;865;3,29;9;0,03;8;0,03;784;2,98;8234;31,32;3457;13,15
63;mar;2011;47630;1207;2,53;13;0,03;25;0,05;1005;2,11;8820;18,52;3814;8,01
64;abr;2011;44908;1157;2,58;10;0,02;12;0,03;901;2,01;7269;16,19;3891;8,66
65;mai;2011;42715;1038;2,43;2;-;5;0,01;1091;2,55;6628;15,52;3307;7,74
66;jun;2011;39458;933;2,36;2;0,01;2;0,01;1183;3;7950;20,15;2544;6,45
67;jul;2011;42262;1236;2,92;11;0,03;11;0,03;2697;6,38;8523;20,17;3307;7,82
68;ago;2011;33209;2161;6,51;170;0,51;10;0,03;1757;5,29;13265;39,94;3451;10,39
69;set;2011;25409;3518;13,85;31;0,12;10;0,04;1446;5,69;11698;46,04;3300;12,99
70;out;2011;27966;3903;13,96;3;0,01;5;0,02;856;3,06;14868;53,16;3238;11,58
71;nov;2011;27248;3624;13,3;3;0,01;6;0,02;1243;4,56;14053;51,57;3819;14,02
72;dez;2011;25581;6214;24,29;9;0,04;6;0,02;1532;5,99;10104;39,5;3155;12,33
73;jan;2010;8223;1467;17,84;5;0,06;1;0,01;402;4,89;3042;36,99;2545;30,95
74;fev;2010;8266;2170;26,25;5;0,06;5;0,06;470;5,69;2920;35,33;2313;27,98
75;mar;2010;11836;2236;18,89;-;-;1;0,01;780;6,59;4573;38,64;3529;29,82
76;abr;2010;11462;2127;18,56;-;-;3;0,03;522;4,55;5463;47,66;2829;24,68
77;mai;2010;9680;1310;13,53;3;0,03;7;0,07;653;6,75;5027;51,93;2359;24,37
78;jun;2010;11680;1324;11,34;2;0,02;2;0,02;706;6,04;6533;55,93;2872;24,59
79;jul;2010;12661;1150;9,08;-;-;22;0,17;986;7,79;7718;60,96;2440;19,27
80;ago;2010;14171;1213;8,56;4;0,03;5;0,04;928;6,55;9186;64,82;2596;18,32
81;set;2010;13177;904;6,86;-;-;11;0,08;734;5,57;8882;67,41;2413;18,31
82;out;2010;13078;1555;11,89;1;0,01;18;0,14;835;6,38;8521;65,16;1968;15,05
83;nov;2010;14551;991;6,81;157;1,08;9;0,06;825;5,67;10072;69,22;2257;15,51
84;dez;2010;14059;1181;8,4;21;0,15;5;0,04;871;6,2;8832;62,82;2887;20,53
85;jan;2009;105945;26748;25,25;-;-;13;0,01;364;0,34;3859;3,64;74909;70,71
86;fev;2009;73883;3524;4,77;3;-;5;0,01;457;0,62;3398;4,6;66214;89,62
87;mar;2009;38246;773;2,02;3;0,01;12;0,03;342;0,89;4392;11,48;32440;84,82
88;abr;2009;25496;468;1,84;682;2,67;20;0,08;579;2,27;4014;15,74;19228;75,42
89;mai;2009;43819;1212;2,77;2;-;27;0,06;431;0,98;3087;7,04;38790;88,52
90;jun;2009;10792;1821;16,87;1;0,01;4;0,04;464;4,3;6160;57,08;2023;18,75
91;jul;2009;9831;2073;21,09;191;1,94;5;0,05;565;5,75;4104;41,75;2421;24,63
92;ago;2009;9783;2233;22,83;2;0,02;4;0,04;458;4,68;3825;39,1;2997;30,63
93;set;2009;9810;1706;17,39;1;0,01;7;0,07;474;4,83;4876;49,7;2392;24,38
94;out;2009;11342;1483;13,08;-;-;7;0,06;336;2,96;6081;53,61;2988;26,34
95;nov;2009;10183;1674;16,44;10;0,1;5;0,05;560;5,5;4368;42,9;3143;30,87
96;dez;2009;9213;1384;15,02;1;0,01;2;0,02;562;6,1;3950;42,87;2817;30,58
97;jan;2008;10341;3164;30,6;73;0,71;13;0,13;343;3,32;2431;23,51;4266;41,25
98;fev;2008;7996;2200;27,51;2;0,03;4;0,05;258;3,23;2309;28,88;3205;40,08
99;mar;2008;11586;2579;22,26;4;0,03;25;0,22;420;3,63;3661;31,6;4881;42,13
100;abr;2008;14333;1883;13,14;3;0,02;5;0,03;329;2,3;3304;23,05;8785;61,29
101;mai;2008;14567;2760;18,95;7;0,05;133;0,91;624;4,28;3716;25,51;7274;49,93
102;jun;2008;15561;2690;17,29;1;0,01;27;0,17;332;2,13;4286;27,54;8150;52,37
103;jul;2008;13735;1806;13,15;2;0,01;20;0,15;232;1,69;4041;29,42;7463;54,34
104;ago;2008;11488;1859;16,18;-;-;19;0,17;530;4,61;3383;29,45;5505;47,92
105;set;2008;8686;1619;18,64;5;0,06;36;0,41;262;3,02;3986;45,89;2593;29,85
106;out;2008;12652;1496;11,82;-;-;13;0,1;238;1,88;3701;29,25;7119;56,27
107;nov;2008;29599;2288;7,73;-;-;20;0,07;237;0,8;4062;13,72;22891;77,34
108;dez;2008;71984;8616;11,97;3;-;12;0,02;396;0,55;4942;6,87;57935;80,48
109;jan;2007;24181;18109;74,89;-;-;8;0,03;21;0,09;3132;12,95;2911;12,04
110;fev;2007;15482;9302;60,08;-;-;4;0,03;19;0,12;3907;25,24;2250;14,53
111;mar;2007;16633;9124;54,85;1;0,01;3;0,02;125;0,75;4850;29,16;2530;15,21
112;abr;2007;14152;6416;45,34;11;0,08;6;0,04;147;1,04;4584;32,39;2988;21,11
113;mai;2007;13623;5776;42,4;179;1,31;5;0,04;139;1,02;3107;22,81;4417;32,42
114;jun;2007;10738;4621;43,03;8;0,07;15;0,14;121;1,13;2092;19,48;3881;36,14
115;jul;2007;10858;4349;40,05;2;0,02;18;0,17;88;0,81;1779;16,38;4622;42,57
116;ago;2007;11437;4831;42,24;-;-;2;0,02;114;1;1831;16,01;4659;40,74
117;set;2007;11906;4620;38,8;480;4,03;33;0,28;152;1,28;2227;18,7;4394;36,91
118;out;2007;13644;3535;25,91;260;1,91;110;0,81;192;1,41;2648;19,41;6899;50,56
